No.,PM,Temperatura,L1,L2,FP,Inflamabilidad,NFPA reactivity (unitless),HMIS flammability,HMIS reactivity
682,108.53,500,3.7,12.6,16,3,1,,
415,112.99,557,3.4,14.5,16,3,0,,
10,116.18,422,1.7,9.8,17,3,0,,
477,90.08,458,4.22,12.87,17,3,1,3,1
189,139,265,2.6,6.6,18,3,0,,
235,102.1,320,1.7,8.2,18,3,0,,
711,114.14,329,1.8,100,18,3,0,,
677,106.18,432,1,6.7,18,3,0,3,1
339,69.11,502,1.6,11.4,18,3,0,,
1299,79.1,480,1.8,12.4,18.8,3,0,,
911,116.16,427,1.3,7.5,20,3,0,3,0
517,102.1,215,1.2,9.5,21,3,1,,
48,58.1,378,2.5,18,21,0,0,0,0
1199,88.15,435,1.5,9.1,21,3,0,3,1
210,74.14,405,1.7,9.8,23,3,0,,
1074,100.18,423,1.2,8,23,3,2,3,2
1180,132.16,238,1.3,17,24,3,0,3,2
1269,60.11,412,2.2,13.7,24,3,0,3,0
1711,106.18,500,1.1,6.6,24,3,0,,
395,130.26,194,1.5,7.6,25,3,0,3,1
1408,130,287,0.8,6,25,3,0,,
64,130.21,375,1.1,7.5,25,3,0,,
906,130.19,379,1,7.5,25,3,0,,
426,118.13,445,1.4,11,25,3,1,1,1
350,99.2,293,1.5,9.4,26,3,0,2,1
1063,98.16,344,1.4,7.2,26,3,0,,
213,116.18,370,1.2,7.6,27,3,0,,
585,116.2,407,1.4,7.6,27,3,0,3,0
1712,106.18,527,1.1,7,27,3,0,,
1714,106.18,528,1.1,7,27,3,0,,
1222,93.13,537,1.4,8.6,27,3,0,,
290,112.6,590,1.3,11,27,3,0,,
1275,120.19,450,0.8,6,30,3,0,,
1143,128.26,205,0.8,2.9,31,3,0,,
1514,136.23,255,0.8,100,31,3,0,3,0
529,90.14,287,1.48,13.74,31,3,0,,
908,74.14,400,1.7,10.9,31,3,0,,
951,120.19,420,0.8,6,31,3,1,,
1495,104.15,490,0.9,6.8,31,3,2,3,2
82,90.1,277.8,3,12,31.7,3,0,3,1
1090,90.12,270,1.48,13.74,32,3,0,3,0
1286,90.14,278,3,12,32,3,0,,
65,130.2,380,1,7.5,32,3,0,,
1713,106.18,463,0.9,6.7,32,3,0,,
1226,136.24,255,0.8,7.1,33,3,0,,
468,84.1,275,2,11.7,33,2,2,,
1196,88.15,300,1.2,10.5,33,3,0,,
1270,56.06,365,2.2,98,33,3,0,3,0
66,88.15,370,1.2,10.5,33,3,0,3,0
1521,136.23,255,0.8,100,34,3,0,3,0
1197,88.15,360,1.2,9,34,2,0,,
383,60.1,385,2.7,16.6,34,2,0,2,1
1278,126.24,248,0.9,5.9,35,3,0,3,0
1227,136.24,255,0.8,6.6,35,3,0,,
1122,87.12,310,1.8,11.2,35,3,0,,
209,74.14,343,1.4,11.2,35,3,0,,
52,126.15,500,0.9,6.4,35,3,0,3,0
421,118.18,230,1.65,10.4,36,3,0,3,1
1062,114.21,424,1.05,8.2,36,2,0,,
248,130.2,427,1.1,6.8,36,3,0,3,0
1223,93.13,488,1.3,8.7,37,2,0,,
1141,89.09,428,2.5,100,37.8,3,1,,
757,137,258,0.8,5.7,38,2,0,2,0
216,128.2,275,1.25,8,38,2,2,2,2
1020,76.11,285,1.8,14,38,2,0,,
14,100.13,340,1.7,11.6,38,3,0,3,0
1224,93.13,500,1.3,8.7,38,2,0,,
1032,114.21,393,1,5.5,39,2,0,,
583,114.19,393,1.11,7.9,39,2,0,,
1400,140,230,0.7,6,40,2,0,2,0
368,143,240,0.8,5.6,40,3,0,,
740,143,260,0.8,5.6,40,2,0,2,0
6,60.06,463,5.4,16,40,2,0,2,0
488,89.16,245,1.4,12.2,41,2,0,3,0
226,140.27,246,0.9,6.6,41,2,0,2,0
679,114.21,390,1.1,6.8,41,2,0,2,1
1138,75.07,414,3.4,40,41.1,3,3,,
530,132.2,333,1.5,7,42,2,0,2,1
1287,132.16,354,1.5,7,42,2,0,,
93,121,479,0.8,5.9,42,2,0,2,0
580,60.06,516,6.6,19.3,42,2,0,2,0
1051,60.1,190,2,10.1,42.8,4,1,,
994,136.23,237,0.7,6.1,43,2,0,2,0
1492,140,260,0.8,5.6,43,2,0,2,0
1037,88.15,385,1.4,9,43.3,2,1,,
702,128.24,190,0.85,7.2,44,2,1,,
668,90.14,235,1.7,15.6,44,2,1,,
1383,140,240,0.6,5,44,2,0,2,0
933,144,365,0.7,5.6,44,2,0,2,0
1017,108.15,475,0.34,6.3,44,2,0,,
1388,122,507,0.6,7,44,2,0,2,0
1012,120.2,550,0.9,5.2,44,2,0,,
1139,61.04,418,7.3,100,44.4,3,4,,
508,136.26,237,0.7,6.1,45,2,0,,
958,104.15,240,1.6,13,45,3,0,,
1031,144.21,265.5,0.9,100,45,2,0,,
907,88.15,350,1.2,9,45,2,0,,
87,132.2,372.8,1.8,6.8,45,2,1,2,1
693,118.15,392,1.5,12.3,45,2,,2,1
1623,90.09,414,3.6,29,45,2,1,2,1
83,132.2,318,1.5,12,45.5,2,0,2,1
376,142.3,210,0.8,5.4,46,2,0,2,1
586,132.2,354,1.3,13.1,46,2,0,2,0
627,132.2,354,1.3,13.1,46,2,0,2,0
1091,132.16,354,1.3,13.1,46,2,0,,
